listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number_of_Forks,contributed_forks,merge_to_fork_ratio,Merge_Frequency,Fork_Frequency,contributors_count,project_size
115,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,True,8/1/2011,5/16/2012,289.0,10,0,0.0,0.0,0.0346020761245675,25,Medium
117,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,True,12/5/2016,11/21/2018,716.0,122,35,0.286885245901639,0.0488826815642458,0.170391061452514,50,Medium
118,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,True,3/17/2015,11/18/2015,246.0,140,62,0.442857142857143,0.252032520325203,0.569105691056911,357,Large
119,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,True,2/10/2016,11/15/2017,644.0,84,11,0.130952380952381,0.0170807453416149,0.130434782608696,58,Medium
120,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,True,5/20/2008,5/16/2012,1457.0,1,0,0.0,0.0,0.0006863417982155,16,Small
122,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,True,9/4/2015,8/15/2018,1076.0,190,40,0.210526315789474,0.0371747211895911,0.176579925650558,62,Medium
123,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,True,3/14/2011,2/13/2013,702.0,12,0,0.0,0.0,0.0170940170940171,3,Small
128,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,True,10/1/2014,9/18/2015,352.0,54,14,0.259259259259259,0.0397727272727273,0.153409090909091,254,Large
129,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,True,12/3/2015,11/15/2017,713.0,50,12,0.24,0.0168302945301543,0.0701262272089762,169,Large
137,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,True,6/9/2014,4/20/2016,681.0,8,0,0.0,0.0,0.0117474302496329,25,Medium
138,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,True,2/13/2016,10/17/2018,977.0,45,16,0.355555555555556,0.0163766632548618,0.0460593654042989,36,Medium
139,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,True,9/17/2007,7/19/2013,2132.0,3,0,0.0,0.0,0.0014071294559099,17,Small
141,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,True,6/24/2016,10/18/2017,481.0,7,0,0.0,0.0,0.0145530145530146,16,Small
142,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,True,7/4/2011,10/23/2012,477.0,32,12,0.375,0.0251572327044025,0.0670859538784067,352,Large
144,kudu,1,https://github.com/apache/Kudu,https://github.com/apache/Kudu,True,12/3/2015,7/20/2016,230.0,23,0,0.0,0.0,0.1,121,Large
145,kylin,1,https://github.com/apache/Kylin,https://github.com/apache/Kylin,True,11/25/2014,11/18/2015,358.0,61,13,0.213114754098361,0.0363128491620112,0.170391061452514,46,Medium
146,lens,1,https://github.com/apache/Lens,https://github.com/apache/Lens,True,10/10/2014,8/19/2015,313.0,23,0,0.0,0.0,0.073482428115016,38,Medium
148,libcloud,1,https://github.com/apache/Libcloud,https://github.com/apache/Libcloud,True,11/1/2009,5/19/2011,564.0,20,0,0.0,0.0,0.0354609929078014,324,Large
153,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,True,2/5/2011,8/15/2012,557.0,8,0,0.0,0.0,0.0143626570915619,61,Medium
155,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,True,9/15/2015,7/19/2017,673.0,55,14,0.254545454545455,0.0208023774145617,0.0817236255572065,48,Medium
