listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,count,average_length,number_active_senders,frequency
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,TRUE,11/23/2010,2/15/2012,10034,1955.678094478770,35,11.03850385038500
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,TRUE,11/23/2016,7/17/2019,7674,1941.208496221010,23,16.574514038876900
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,TRUE,5/20/2014,4/22/2015,3387,1213.1801003838200,15,11.178217821782200
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,TRUE,12/18/2017,4/17/2019,13316,8505.99564433764,13,40.47416413373860
194,predictionio,1,https://github.com/apache/PredictionIO,https://github.com/apache/PredictionIO,TRUE,5/26/2016,10/18/2017,3624,2420.2486203090500,13,4.23859649122807
195,pulsar,1,https://github.com/apache/Pulsar,https://github.com/apache/Pulsar,TRUE,6/1/2017,9/19/2018,5352,10001.823056801200,6,10.812121212121200
197,ranger,1,https://github.com/apache/Ranger,https://github.com/apache/Ranger,TRUE,7/24/2014,1/18/2017,2362,2469.773920406440,11,8.375886524822700
200,reef,1,https://github.com/apache/REEF,https://github.com/apache/REEF,TRUE,8/12/2014,11/18/2015,6304,2149.6487944162400,15,17.318681318681300
202,rocketmq,1,https://github.com/apache/RocketMQ,https://github.com/apache/RocketMQ,TRUE,11/21/2016,9/20/2017,1724,4950.8636890951300,8,3.0621669626998200
207,servicecomb,1,https://github.com/apache/ServiceComb,https://github.com/apache/servicecomb-java-chassis,TRUE,11/22/2017,10/17/2018,5506,2893.946966945150,16,14.117948717948700
210,shiro,1,https://github.com/apache/Shiro,https://github.com/apache/Shiro,TRUE,5/20/2008,9/22/2010,877,5930.574686431020,2,1.7297830374753500
212,skywalking,1,https://github.com/apache/SkyWalking,https://github.com/apache/SkyWalking,TRUE,12/8/2017,4/17/2019,9947,1719.683020006030,32,10.87103825136610
217,sqoop,1,https://github.com/apache/Sqoop,https://github.com/apache/Sqoop,TRUE,6/13/2011,3/21/2012,10060,2440.296222664020,23,20.405679513184600
220,storm,1,https://github.com/apache/Storm,https://github.com/apache/Storm,TRUE,9/18/2013,9/17/2014,3338,7286.046434991010,20,4.959881129271920
