listid,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,start_date,end_date,Incubation_Period(days),Number of Direct Forks,Merged_Forks,merge-to-fork ratio,Merge_Frequency,Fork_Frequency
37,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,TRUE,3/17/2015,,,1078,63,0.0584415584415584,,
38,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,TRUE,9/23/2016,,,210,31,0.1476190476190480,,
39,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,TRUE,5/21/2017,,,11681,286,0.0244842051194247,,
40,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,TRUE,11/14/2014,,,33,3,0.0909090909090909,,
41,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,TRUE,10/20/2014,,,9,1,0.1111111111111110,,
42,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,TRUE,3/7/2016,,,51,1,0.0196078431372549,,
43,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,TRUE,12/2/2015,,,220,19,0.0863636363636363,,
44,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,TRUE,2/21/2019,,,28,14,0.5,,
45,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,TRUE,3/25/2019,,,71,4,0.056338028169014,,
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,TRUE,3/6/2019,,,3128,74,0.0236572890025575,,
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,TRUE,6/11/2018,,,1,0,0.0,,
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,TRUE,11/30/2016,,,1794,119,0.0663322185061315,,
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,TRUE,6/6/2006,11/8/2008,886.0,0,0,0.0,0.0,0.0
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,TRUE,9/12/2011,3/21/2012,191.0,5,0,0.0,0.0,0.02617801047120420
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,TRUE,4/24/2009,12/21/2011,971.0,0,0,0.0,0.0,0.0
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,TRUE,12/1/2005,2/6/2007,432.0,0,0,0.0,0.0,0.0
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,TRUE,5/5/2011,9/19/2012,503.0,0,0,0.0,0.0,0.0
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,TRUE,3/31/2016,12/19/2018,993.0,2907,0,0.0,0.0,2.9274924471299100
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,TRUE,6/25/2012,3/19/2014,632.0,0,0,0.0,0.0,0.0
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,TRUE,8/30/2011,11/20/2013,813.0,31,0,0.0,0.0,0.038130381303813000
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,TRUE,5/9/2010,1/16/2013,983.0,0,0,0.0,0.0,0.0
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,TRUE,10/1/2011,8/28/2012,332.0,1,0,0.0,0.0,0.0030120481927710800
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,TRUE,8/17/2015,4/20/2016,247.0,54,22,0.4074074074074070,0.08906882591093120,0.21862348178137700
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,TRUE,11/8/2004,6/3/2005,207.0,0,0,0.0,0.0,0.0
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,TRUE,9/22/2009,12/15/2010,449.0,2,0,0.0,0.0,0.004454342984409800
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,TRUE,2/28/2015,4/20/2016,417.0,21,0,0.0,0.0,0.050359712230215800
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,TRUE,5/5/2015,6/21/2017,778.0,0,0,0.0,0.0,0.0
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,TRUE,10/1/2013,3/18/2015,533.0,57,2,0.0350877192982456,0.00375234521575985,0.10694183864915600
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,TRUE,2/1/2016,12/21/2016,324.0,238,0,0.0,0.0,0.7345679012345680
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,TRUE,3/1/2010,2/15/2012,716.0,0,0,0.0,0.0,0.0
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,TRUE,5/21/2004,7/18/2005,423.0,0,0,0.0,0.0,0.0
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,TRUE,6/20/2011,9/19/2012,457.0,9,0,0.0,0.0,0.019693654266958400
69,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,TRUE,12/23/2011,3/20/2013,453.0,0,0,0.0,0.0,0.0
70,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,TRUE,5/1/2014,11/18/2015,566.0,0,0,0.0,0.0,0.0
71,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,TRUE,11/1/2007,2/23/2009,480.0,0,0,0.0,0.0,0.0
72,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,TRUE,5/19/2014,10/22/2015,521.0,72,3,0.0416666666666666,0.005758157389635320,0.1381957773512480
73,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,TRUE,6/2/2016,4/19/2017,321.0,199,0,0.0,0.0,0.6199376947040500
74,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,TRUE,1/1/2009,2/17/2010,412.0,1,0,0.0,0.0,0.0024271844660194200
75,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,TRUE,3/9/2006,12/20/2006,286.0,0,0,0.0,0.0,0.0
76,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,TRUE,11/2/2010,7/16/2014,1352.0,0,0,0.0,0.0,0.0
77,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,TRUE,4/30/2009,2/16/2010,292.0,0,0,0.0,0.0,0.0
78,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,TRUE,7/14/2010,9/27/2013,1171.0,6,0,0.0,0.0,0.005123825789923140
79,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,TRUE,11/27/2009,2/20/2013,1181.0,2,0,0.0,0.0,0.001693480101608810
