prj_id,count,average_length,number_active_senders,frequency
1,151,2398.615894039740,0,0
2,189,7022.206349206350,1,0
3,1267,2411.0947119179200,7,0
5,718,8280.974930362120,5,0
6,6286,12926.958797327400,16,0
7,1068,5921.897940074910,5,0
8,6355,4443.944925255700,12,0
10,7548,4695.65911499735,2,0
11,26871,6274.087119943430,14,0
12,14669,2455.6553275615200,5,0
13,5957,1670.4868222259500,25,0
14,3199,2575.623944982810,10,0
15,5783,2572.044959363650,17,0
16,4131,7719.408859840230,10,0
17,650,6089.752307692310,4,0
18,3896,5592.873716632440,4,0
19,1099,16244.385805277500,3,0
20,2365,10200.375052854100,11,0
21,619,2849.127625201940,2,0
22,242,11740.611570247900,0,0
23,530,9209.477358490570,1,0
24,73309,17665.783737331000,43,0
25,2682,3061.2162565249800,15,0
26,4019,6181.568798208510,12,0
27,1927,2538.894135962640,7,0
28,1677,1377.1848539057800,1,0
29,5339,14682.398763813400,11,0
30,1157,2132.7778738115800,6,0
31,984,2941.5619918699200,2,0
32,1538,3366.5858257477200,6,0
33,1990,2230.165326633170,5,0
34,1808,1925.6078539823000,6,0
35,2404,6472.363976705490,6,0
37,2674,1908.0646970830200,7,0
38,759,3799.483530961790,2,0
39,12035,5390.687744079770,11,0
40,10794,5413.747359644250,20,0
41,6943,7895.801814777470,25,0
42,2318,2648.7407247627300,13,0
43,1948,2584.1026694045200,9,0
44,297,8496.161616161620,1,0
47,34,1493.6176470588200,0,0
48,17925,3955.6745885634600,39,0
49,3033,1433.4078470161600,11,3.4232505643340900
50,2697,1861.2387838338900,18,14.120418848167500
51,4793,2989.6177759232200,23,4.936148300720910
52,5765,2777.2504770164800,22,13.344907407407400
53,4333,3681.3399492268600,19,8.61431411530815
54,10055,2550.8781700646400,21,10.12588116817720
57,1417,1830.1884262526500,7,1.4415055951169900
61,975,2267.443076923080,4,2.1714922048997800
62,3239,4366.43809817845,15,7.767386091127100
63,4837,3869.4277444697100,26,6.217223650385600
64,2843,6180.847696095670,9,5.333958724202630
65,15865,2528.4579262527600,50,48.96604938271610
66,1487,2536.478816408880,9,2.0768156424581000
67,6722,2653.15144302291,32,15.891252955082700
68,5111,2041.8393660731800,22,11.183807439824900
69,4734,1704.3054499366300,12,10.450331125827800
70,12462,3097.017332691380,33,22.01766784452300
71,2149,2128.669613773850,15,4.477083333333330
72,1900,2186.2015789473700,6,3.6468330134357000
73,4910,2979.8421588594700,16,15.29595015576320
74,10015,1853.678182725910,22,24.308252427184500
75,1834,2045.8484187568200,8,6.4125874125874100
76,1406,1530.8172119487900,6,1.0399408284023700
77,1076,1637.575278810410,3,3.684931506849320
78,1825,2269.475616438360,5,1.5584970111016200
79,7461,5009.3850690256000,22,6.3175275190516500
80,1278,1386.1251956181500,6,2.6350515463917500
81,29125,3908.341871244640,118,86.16863905325440
82,1765,3370.371104815860,11,2.788309636650870
83,16557,2403.7462100622100,52,44.99184782608700
84,2050,1558.6551219512200,7,7.295373665480430
85,2110,2390.4260663507100,9,7.814814814814820
86,1416,2680.950564971750,8,0
87,1267,1773.1602209944800,5,7.281609195402300
88,6556,8726.910006101280,25,10.747540983606600
89,2050,1867.7429268292700,6,1.3594164456233400
90,2822,5993.607016300500,8,5.375238095238100
91,7078,3322.7486578129400,18,13.156133828996300
92,6876,3199.3840895869700,35,20.403560830860500
93,2212,1648.3331826401400,8,2.104662226451000
94,1472,2295.351902173910,4,4.673015873015870
95,4032,2394.15376984127,17,8.245398773006140
96,2761,2451.818906193410,7,7.422043010752690
97,8595,2890.203955788250,40,10.355421686747000
98,8236,11699.346041767800,24,18.18101545253860
99,9183,1694.5148644233900,30,21.760663507109000
100,498,3374.9819277108400,2,0.6459143968871600
101,1564,3630.7090792838900,5,1.2077220077220100
102,4665,3304.9747052518800,16,6.278600269179000
103,1661,1585.451535219750,9,1.040075140889170
104,9267,2579.52821840941,27,14.709523809523800
105,5469,1729.8570122508700,26,8.806763285024150
106,3365,2268.9690936107000,12,6.853360488798370
107,16955,1917.2343261574800,57,47.76056338028170
108,3253,2505.5899169996900,15,13.17004048583000
109,7492,2667.4221836625700,36,20.0857908847185
110,627,3955.365231259970,3,1.4649532710280400
112,895,1757.140782122910,3,0.518840579710145
113,9970,2968.6561685055200,47,17.521968365553600
115,2287,2224.807608220380,11,7.913494809688580
116,1494,1844.9203480589000,7,3.138655462184870
117,3262,1829.874310239120,14,4.555865921787710
118,1318,1693.4650986342900,9,5.357723577235770
119,5403,2272.7277438460100,8,8.389751552795030
120,8682,2021.4374568071900,22,5.958819492107070
121,28529,3795.1303235304400,105,53.93005671077510
122,7677,2048.693109287480,38,7.134758364312270
123,6109,3030.3825503355700,31,8.702279202279200
124,3619,1362.6819563415300,14,8.416279069767440
127,993,2415.6878147029200,5,3.909448818897640
128,7667,2224.2997260988700,37,21.78125
129,13809,2125.525092331090,38,19.367461430575000
130,3776,2673.5855402542400,15,4.897535667963680
131,2472,2525.722491909390,9,7.002832861189800
132,6111,1738.60235640648,25,10.835106382978700
134,7228,1997.3108743774200,20,42.51764705882350
135,2325,2687.068817204300,14,11.341463414634100
136,4260,2451.5091549295800,18,8.3203125
137,942,1750.2951167728200,5,1.3832599118942700
138,2340,2858.0376068376100,16,2.3950870010235400
139,8497,2732.840296575260,23,3.9854596622889300
140,515,5213.015533980580,3,2.7989130434782600
141,1314,3383.181887366820,5,2.731808731808730
142,5763,2378.959049106370,24,12.081761006289300
143,2683,2213.927692881100,10,7.411602209944750
144,5010,1759.2483033932100,16,21.782608695652200
145,4858,4203.481885549610,20,13.569832402234600
146,10596,3324.0769158172900,24,33.853035143770000
147,9157,3079.256197444580,23,17.542145593869700
153,28,5914.821428571430,0,0.05026929982046680
154,1272,1806.6069182389900,7,2.193103448275860
155,1755,2821.503133903130,8,2.6077265973254100
156,5074,2587.1022861647600,15,5.920653442240370
157,2837,2441.646457525560,13,8.059659090909090
159,10980,5527.228051001820,26,12.07920792079210
160,1527,3520.440078585460,6,2.903041825095060
161,8652,3131.6925566343000,28,17.304
163,136,1230.110294117650,0,0.24113475177305000
164,1119,1922.9374441465600,8,2.5724137931034500
167,3692,3879.2646262188500,17,6.052459016393440
168,27936,13232.790020045800,85,30.103448275862100
169,9044,2253.0346085802700,23,38.81545064377680
170,1279,1601.1290070367500,6,9.335766423357670
171,314,2585.9140127388500,1,0.3532058492688410
172,2198,4939.548680618750,10,4.25968992248062
173,6881,2608.852347042580,27,21.30340557275540
175,2995,3080.7328881469100,12,11.791338582677200
176,1410,2028.6695035461000,8,9.155844155844160
177,644,2052.1847826087000,3,2.1466666666666700
178,7230,2158.058644536650,19,17.463768115942000
179,1681,2145.571683521710,7,4.555555555555560
181,4959,5593.65355918532,19,12.366583541147100
182,5768,4600.884361997230,18,13.321016166281800
183,1862,1797.482814178300,10,4.146993318485520
184,28785,2451.572589890570,94,58.50609756097560
185,1655,2299.3413897281000,8,3.968824940047960
186,8134,8256.356651094170,28,8.420289855072460
187,1820,2108.5714285714300,5,5.400593471810090
188,1866,2174.8569131832800,8,3.0
189,4415,2236.4525481313700,20,27.422360248447200
190,5354,2236.502801643630,19,13.870466321243500
191,4505,1529.6066592674800,12,13.904320987654300
192,4522,82644.50331711630,11,9.323711340206190
194,2964,2192.7705802969000,11,5.811764705882350
195,15924,9899.34991208239,12,33.52421052631580
196,14772,4556.828323855940,49,17.502369668246400
197,10034,1955.6780944787700,35,11.03850385038500
199,4570,2533.5236323851200,21,11.839378238342000
200,7674,1941.208496221010,23,16.574514038876900
201,8182,3132.6129308237600,38,5.50976430976431
202,3387,1213.1801003838200,15,11.178217821782200
203,4271,2714.833762584880,14,6.990180032733230
204,7039,2820.9268361983200,22,13.035185185185200
205,411,2115.221411192210,2,0.6227272727272730
206,13704,1753.7354057209600,44,14.410094637224000
207,13316,8505.99564433764,13,40.474164133738600
208,5702,4885.780427920030,15,8.678843226788430
209,14320,2944.068505586590,52,18.358974358974400
210,3624,2420.2486203090500,13,4.23859649122807
211,1031,2356.3414161008700,4,1.0956429330499500
212,5352,10001.823056801200,6,10.812121212121200
213,12759,4148.785092875620,27,19.720247295208700
214,3167,1738.7189769497900,15,8.676712328767120
215,8199,924.7242346627640,9,44.08064516129030
216,4119,2147.3823743627100,11,16.812244897959200
217,2362,2469.773920406440,11,8.375886524822700
218,6618,3337.328800241770,27,9.818991097922850
219,6194,2306.3033580884700,14,6.814081408140810
220,6304,2149.6487944162400,15,17.318681318681300
221,8975,3238.0846796657400,38,26.791044776119400
222,6520,2831.9134969325200,21,3.8307873090481800
223,2070,2061.219806763290,14,20.294117647058800
225,2670,2284.583895131090,11,9.368421052631580
226,1724,4950.8636890951300,8,3.0621669626998200
227,5506,2893.946966945150,16,14.117948717948700
229,877,5930.574686431020,2,1.7297830374753500
230,9947,1719.683020006030,32,10.87103825136610
231,1489,1315.1820013431800,7,2.5409556313993200
232,10060,2440.296222664020,23,20.405679513184600
234,3338,7286.046434991010,20,4.959881129271920
235,1998,1512.3913913913900,9,7.085106382978720
236,3754,3990.741076185400,14,3.989373007438900
238,32149,9724.564123300880,95,35.880580357142900
239,2535,2225.8264299802800,10,2.6853813559322000
240,12081,1435.1504014568300,20,9.727053140096620
241,1826,3614.0755750273800,10,1.4797406807131300
242,8392,1804.8050524308900,24,12.251094890510900
243,2584,4176.837848297210,6,1.909830007390980
244,1067,2507.1930646672900,7,0.5811546840958610
246,3183,1422.5633050581200,9,6.874730021598270
247,9522,4218.920919974800,25,32.16891891891890
248,4614,2966.433246640660,25,3.543778801843320
250,3405,2106.731571218800,12,2.781862745098040
251,2707,5912.093091983750,10,8.227963525835870
252,10966,1880.9749224876900,35,21.41796875
253,403,2683.2158808933000,0,0.5056461731493100
257,1037,1535.6499517839900,5,0
259,1006,1459.8787276341900,5,0
260,5306,2647.7184319638100,14,2.9576365663322200
261,417,3723.8705035971200,2,0
263,227,2359.3348017621100,1,1.1701030927835100
264,1500,2426.6666666666700,6,4.335260115606940
267,1659,1562.893309222420,9,0.6432725862737500
268,4715,1849.9317073170700,17,5.097297297297300
269,1376,2230.9258720930200,5,1.6284023668639100
270,1677,1782.2122838401900,5,0
271,727,2336.188445667130,3,0.9654714475431610
272,283,1473.5689045936400,1,0
273,566,2771.3268551236700,1,0
276,481,2704.831600831600,2,0
277,715,1801.6909090909100,4,0.9445178335535010
279,15,632.8,0,0
280,513,1231.4600389863500,2,0.3413173652694610
281,428,1763.9883177570100,3,0
283,283,1815.5583038869300,0,0
285,1110,1768.445045045050,6,0.685608400247066
286,1050,2390.4857142857100,5,1.4442916093535100
287,3440,2277.5668604651200,10,2.097560975609760
288,49,6221.244897959180,0,0.018317757009345800
289,951,2144.3922187171400,4,0
290,500,2748.168,3,0.8561643835616440
291,1742,1802.7078071182500,7,1.09353421217828
292,2442,1997.2502047502000,12,8.032894736842100
293,428,3474.8995327102800,2,1.646153846153850
294,3207,1978.8543810414700,11,3.285860655737710
295,10,515.9,0,0
296,1447,2778.6427090532100,7,1.262652705061080
297,1626,2647.508610086100,10,1.6308926780341000
298,1048,2492.3062977099200,5,0.7722918201915990
299,11920,2190.058724832220,24,8.021534320323020
301,2618,2852.7547746371300,15,0
302,236,2212.1991525423700,1,0.1584956346541300
303,88,1330.715909090910,0,0
305,191,2764.3350785340300,0,0
306,9379,3953.5222305149800,35,3.608695652173910
308,2350,1415.2812765957400,10,2.0778072502210400
310,3180,9508.58176100629,20,4.642335766423360
311,903,1386.3067552602400,5,1.29
312,973,4885.363823227130,4,3.3095238095238100
